!Version=1,type=LEV,encoding=MBCS,,,
FILECONT, TITLE,,,,
3,1,,,,
UserSettings,U_VALUES,U_DATETIME,,,
UserSettingsValues,m AD,yyyy-mm-dd hh:mm,,,
G_START,G_TS,G_NPROFILES,G_DATATYPE,,
2020/03/31 00:00,600,5,0,,
L_NODEID,L_PIPELEVEL,L_PTITLE,,,
     OF1,0,,,,
     OF2,0,,,,
     OF3,0,,,,
     OF4,0,,,,
     OF5,0,,,,
P_DATETIME,1,2,3,4.0,5.0
2020-03-31 19:00:00,1.135,1.135,1.135,1.135,1.135
2020-03-31 19:10:00,1.12,1.12,1.12,1.12,1.12
2020-03-31 19:20:00,1.085,1.085,1.085,1.085,1.085
2020-03-31 19:30:00,1.055,1.055,1.055,1.055,1.055
2020-03-31 19:40:00,1.035,1.035,1.035,1.035,1.035
2020-03-31 19:50:00,0.99,0.99,0.99,0.99,0.99
2020-03-31 20:00:00,0.96,0.96,0.96,0.96,0.96
2020-03-31 20:10:00,0.935,0.935,0.935,0.935,0.935
2020-03-31 20:20:00,0.905,0.905,0.905,0.905,0.905
2020-03-31 20:30:00,0.87,0.87,0.87,0.87,0.87
2020-03-31 20:40:00,0.835,0.835,0.835,0.835,0.835
2020-03-31 20:50:00,0.8049999999999999,0.8049999999999999,0.8049999999999999,0.8049999999999999,0.8049999999999999
2020-03-31 21:00:00,0.77,0.77,0.77,0.77,0.77
2020-03-31 21:10:00,0.745,0.745,0.745,0.745,0.745
2020-03-31 21:20:00,0.71,0.71,0.71,0.71,0.71
2020-03-31 21:30:00,0.68,0.68,0.68,0.68,0.68
2020-03-31 21:40:00,0.645,0.645,0.645,0.645,0.645
2020-03-31 21:50:00,0.62,0.62,0.62,0.62,0.62
2020-03-31 22:00:00,0.595,0.595,0.595,0.595,0.595
2020-03-31 22:10:00,0.56,0.56,0.56,0.56,0.56
2020-03-31 22:20:00,0.535,0.535,0.535,0.535,0.535
2020-03-31 22:30:00,0.495,0.495,0.495,0.495,0.495
2020-03-31 22:40:00,0.485,0.485,0.485,0.485,0.485
2020-03-31 22:50:00,0.45,0.45,0.45,0.45,0.45
2020-03-31 23:00:00,0.415,0.415,0.415,0.415,0.415
2020-03-31 23:10:00,0.39,0.39,0.39,0.39,0.39
2020-03-31 23:20:00,0.365,0.365,0.365,0.365,0.365
